Date,E Shredder(kWh), E ECurrent(kWh),SHREDDED(kg),ZORBA(kg),INOX(kg),CUFe(kg),FLUFF(kg),TIME AVAIL(min),FUCHS BREAKDOWN,BIG PIECES,BLOCKING,2nd PROCESSING OF RUBBISH FROM MOTORS,NO SCRAP IN FEEDING AREA into machine(break change of material etc.),NO ELECTRICAL POWER,NO SCRAP IN THE PLANT OR PROPER MIX,SCALE,START-FINISH TIME,MECHANICAL,ELECTRICAL,ELECTRONIC,FIRE - EXPLOSION,BELTS PROBLEMS,HAMMERS AND FACING PROBLEMS,HYDRAULICS,OTHER,40000,40001,40002,40003,40004,40005,40006,40008,40009,40011,40012,40016,40017,40018,40020,40021,40240,40242,40296,40297,70001
3519,  133,122360,0,235,205,21335,480,0,0,0,0,30,0,0,0,58,0,0,0,0,0,0,0,0,34220,56185,28035,0,0,0,0,22205,      0,0,0,0,0,0,0,0,0,0,0,0,3490,
3194,  139,108270,0,165,130,23250,480,0,0,0,0,44,0,0,0,62,41,0,0,0,0,0,0,0,28015,36130,38330,0,6395,0,0,15105,      0,0,0,0,0,0,0,0,0,0,0,0,7840,
2494,  108,86450,0,150,100,17410,480,0,4,0,0,152,0,0,0,64,0,0,0,0,0,0,0,0,13425,22140,30025,0,0,0,0,32560,      0,0,0,0,0,0,0,0,0,0,0,0,5960,
1176,   74,53520,6880,190,345,8385,480,0,6,0,0,47,0,0,0,55,0,0,0,123,130,0,0,0,0,6355,0,0,0,0,0,8130,      0,32065,24900,0,0,0,0,0,0,0,0,0,0,
3300,  153,116325,0,245,140,18325,480,45,0,0,0,30,0,0,0,59,0,0,0,0,2,0,0,0,6335,7135,34520,0,0,0,0,86380,      0,0,0,0,0,0,0,0,0,0,0,0,665,
2996,  112,118735,0,250,90,12385,480,0,0,0,0,30,0,0,0,56,0,77,0,0,0,0,0,0,12615,7125,9075,0,0,0,0,98795,      0,0,0,0,0,0,0,0,0,0,0,0,3850,
2763,  153,105430,0,215,65,12205,750,36,0,5,0,30,0,0,0,2,398,0,0,0,0,0,0,0,14825,0,14275,0,0,0,0,88130,      0,0,0,0,0,0,0,0,0,0,0,0,685,
1940,   82,55800,0,95,75,7855,480,0,0,0,0,30,0,0,0,58,186,0,0,0,0,0,5,0,0,0,24120,0,0,0,0,39705,      0,0,0,0,0,0,0,0,0,0,0,0,0,
2897,  115,89940,0,185,70,11610,540,11,0,0,0,30,0,0,0,55,14,144,0,0,0,0,0,0,14100,0,19830,0,0,0,0,66225,      0,0,0,0,0,0,0,0,0,0,0,0,1650,
1533,   75,39360,0,115,55,5775,480,37,0,0,0,30,0,0,0,52,0,221,0,0,0,0,0,0,0,11105,12305,0,0,0,0,21895,      0,0,0,0,0,0,0,0,0,0,0,0,0,
